Name,Short_address,Phone,Long_address,lon,lat,address
511 Gloucester Costco,1900 Cyrville Road,613-748-9966,"1900 Cyrville Road, Ottawa",-75.6033867,45.4151698,"1900 cyrville rd, gloucester, on k1b 3v5, canada"
Active Green +  Ross Service Centre,1670 Bank Street,613-731-0409 ,"1670 Bank Street, Ottawa",-75.6665799,45.3759984,"1670 bank st, ottawa, on k1v 7y6, canada"
Active Green + Ross Service Centre,2165 Carling Avenue,613-729-5432 ,"2165 Carling Avenue, Ottawa",-75.77006589999999,45.3722051,"2165 carling ave, ottawa, on k2a 1h2, canada"
Add-Vance Service Centre,36 Capital Drive,613-226-3162 ,"36 Capital Drive, Ottawa",-75.7205449,45.3225869,"36 capital dr, nepean, on k2g 0e9, canada"
Al Heron Sales and Service,2701 Bank Street,613-521-3246,"2701 Bank Street, Ottawa",-75.6344445,45.3525062,"2701 bank st, gloucester, on k1t 3y9, canada"
Angelo Lorelli Service Centre,779 Gladstone Avenue,613-236-5236,"779 Gladstone Avenue, Ottawa",-75.70693159999999,45.4069448,"779 gladstone ave, ottawa, on k1r 6x6, canada"
Auto Reb-Ex Service Centre,320 McRae Avenue,613-729-1252,"320 McRae Avenue, Ottawa",-75.7504589,45.3961064,"320 mcrae ave, ottawa, on k1z 5n3, canada"
AutoMark Ottawa,1543 Michael Street,613-889-5423,"1543 Michael Street, Ottawa",-75.6261749,45.41252859999999,"1543 michael st, ottawa, on k1b, canada"
Autovation Inc.,11 Sweetnam Drive,613-831-8714,"11 Sweetnam Drive, Ottawa",-75.91637209999999,45.2763925,"11 sweetnam dr, stittsville, on k2s 1g3, canada"
Avenue Tire Depot,1346 Avenue L ,613-741-8473,"1346 Avenue L , Ottawa",-75.6471875,45.4169572,"1346 avenue l, ottawa, on k1g 0a3, canada"
B&N Transmission Inc.,1086 Gladstone Avenue,613-729-6000,"1086 Gladstone Avenue, Ottawa",-75.722753,45.4007885,"1086 gladstone ave, ottawa, on k1y 3g9, canada"
B.S.A.C.,6547 Bank Street,613-822-7096,"6547 Bank Street, Ottawa",-75.52575879999999,45.2492223,"6547 bank st, metcalfe, on k0a 2p0, canada"
Bank Street Mazda,2575 Bank Street,613-739-3088,"2575 Bank Street, Ottawa",-75.64020529999999,45.35449500000001,"2575 bank st, gloucester, on k1t 1m8, canada"
Beaver Auto Centre,2555 Blackwell Street,613-749-4848,"2555 Blackwell Street, Ottawa",-75.6088783,45.4054507,"2555 blackwell st, ottawa, on k1b 4e4, canada"
Beaverbrook Service Centre,1001 Beaverbrook Road,613-592-2529,"1001 Beaverbrook Road, Ottawa",-75.8992786,45.3288003,"1001 beaverbrook rd, kanata, on k2k 1l2, canada"
Beechwood Auto Service,188 Beechwood Avenue,613-749-6773,"188 Beechwood Avenue, Ottawa",-75.6711516,45.4420697,"188 beechwood ave, ottawa, on k1l 5s6, canada"
Bob & Lynn's Service Centre,5928 Perth Street,613-838-2014,"5928 Perth Street, Ottawa",-75.8288795,45.1997546,"5928 perth st, richmond, on k0a 2z0, canada"
Bogdan's Auto Service,1807 St. Joseph Boulevard,613-841-2039,"1807 St. Joseph Boulevard, Ottawa",-75.5480487,45.4625502,"1807 st joseph blvd, orléans, on k1c 6e7, canada"
Boss Auto Repair,3190 Swansea Crescent,613-738-9568,"3190 Swansea Crescent, Ottawa",-75.6063468,45.3823136,"3190 swansea crescent, ottawa, on k1g 3w4, canada"
Bourk's Complete Car Care,4009 Carling Avenue,613-599-5232,"4009 Carling Avenue, Ottawa",-75.8987384,45.3392972,"4009 carling ave, kanata, on k2k 2a3, canada"
Bourk's Complete Car Care,24  Hamilton Avenue,613-728-4646,"24  Hamilton Avenue, Ottawa",-75.7303964,45.400692,"24 hamilton ave n, ottawa, on k1y 1b6, canada"
